Fold 22 — top-38 GWs by |bias|

 GW | bias    | n
 ---+---------+--------
  9 | -0.140 | 638
 17 | -0.128 | 675
 25 | -0.113 | 748
 21 | -0.110 | 707
 12 | -0.104 | 585
 28 | +0.101 | 539
  5 | +0.095 | 608
 26 | -0.094 | 747
  8 | -0.087 | 440
  1 | +0.081 | 573
 23 | +0.069 | 810
 11 | -0.068 | 643
 14 | -0.064 | 656
 30 | +0.061 | 754
 35 | -0.057 | 763
 13 | -0.056 | 648
 15 | +0.054 | 661
 37 | +0.049 | 931
 22 | +0.044 | 815
 36 | -0.043 | 838
 16 | +0.035 | 667
 24 | -0.032 | 746
 33 | +0.031 | 761
 29 | +0.028 | 1213
  2 | -0.024 | 581
 38 | +0.024 | 778
 27 | -0.019 | 898
  4 | -0.017 | 601
 19 | -0.015 | 765
  6 | -0.013 | 624
 20 | +0.013 | 834
 10 | +0.009 | 641
 34 | +0.008 | 977
 18 | +0.004 | 678
 32 | -0.003 | 611
  3 | -0.002 | 592
 31 | -0.001 | 759
