Fold 25 — top-38 GWs by |bias|

 GW | bias    | n
 ---+---------+--------
 19 | -0.169 | 780
 11 | -0.160 | 752
 14 | -0.144 | 758
  4 | -0.123 | 740
 15 | -0.110 | 759
  8 | -0.106 | 745
 16 | -0.103 | 760
  3 | -0.101 | 712
 20 | -0.097 | 790
 27 | -0.094 | 818
 21 | -0.093 | 795
 17 | -0.091 | 770
  9 | -0.089 | 746
 12 | -0.088 | 755
 22 | -0.083 | 799
 29 | -0.071 | 820
 23 | -0.070 | 803
  7 | -0.069 | 743
 18 | -0.065 | 775
 10 | -0.063 | 747
 24 | -0.052 | 811
  2 | -0.048 | 705
  5 | +0.032 | 741
 13 | -0.031 | 755
 25 | -0.029 | 817
  6 | +0.024 | 742
 26 | -0.019 | 896
 28 | -0.018 | 819
  1 | -0.009 | 690
