Fold 21 — top-38 GWs by |bias|

 GW | bias    | n
 ---+---------+--------
  1 | -0.263 | 554
 18 | -0.161 | 262
  3 | +0.128 | 577
 37 | +0.109 | 882
 12 | -0.104 | 631
 27 | -0.101 | 632
 25 | -0.089 | 700
  8 | -0.089 | 617
  4 | -0.087 | 599
 36 | -0.084 | 1198
 17 | -0.081 | 460
 28 | -0.081 | 1009
 34 | -0.077 | 794
 32 | -0.071 | 722
 16 | -0.065 | 583
  7 | +0.064 | 613
 29 | -0.058 | 941
  6 | +0.055 | 611
  5 | -0.052 | 606
 11 | +0.051 | 624
 24 | +0.051 | 635
 13 | -0.050 | 574
 19 | -0.050 | 450
  9 | -0.049 | 618
 38 | -0.048 | 737
 22 | +0.044 | 759
 10 | -0.038 | 623
 23 | -0.030 | 773
 30 | +0.027 | 292
 31 | -0.026 | 793
  2 | +0.025 | 566
 33 | -0.011 | 854
 14 | +0.010 | 636
 35 | -0.006 | 730
 15 | +0.006 | 640
 21 | +0.005 | 686
 26 | -0.004 | 1005
 20 | +0.000 | 461
