Fold 24 — top-38 GWs by |bias|

 GW | bias    | n
 ---+---------+--------
 26 | -0.200 | 783
  3 | +0.188 | 648
 24 | -0.185 | 831
 38 | -0.174 | 804
 36 | -0.158 | 801
 27 | -0.134 | 784
 37 | -0.132 | 801
  6 | +0.130 | 664
 31 | -0.126 | 792
 32 | -0.125 | 869
 17 | -0.122 | 701
 25 | -0.114 | 858
 34 | -0.113 | 645
 29 | -0.106 | 639
  9 | +0.103 | 670
 15 | +0.091 | 630
 20 | +0.091 | 711
 33 | -0.086 | 954
 30 | -0.084 | 791
 28 | -0.082 | 789
  8 | +0.079 | 667
 10 | +0.074 | 674
  4 | +0.070 | 659
  5 | +0.067 | 661
 23 | -0.063 | 756
 35 | -0.056 | 801
  1 | -0.053 | 616
 18 | -0.050 | 705
  7 | -0.046 | 666
 14 | -0.039 | 693
 16 | +0.038 | 701
 21 | +0.038 | 724
 11 | +0.035 | 678
 12 | +0.008 | 684
 22 | -0.008 | 729
 19 | +0.007 | 709
 13 | +0.007 | 690
  2 | +0.005 | 627
